race_number,circle,division,class_name,place_class,place_overall,boat_name,sail_number,design,owner,rating,finish_status,finish_time_utc,elapsed_sec,corrected_sec,elapsed_hms,corrected_hms,finish_local,retire_reason
1,Around Long Island Course - Multihull,PHRF,Multihull (NEMA) Division M - Warning Signal 12:20,1,1,Daffodil,167,Corsair F31R,Alex Watson,-20,AOK,2025-07-25T20:16:42.000Z,114702,118842,31:51:42,33:00:42,2025-07-25 20:16:42,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 1 - Warning  Signal 11:00,1,3,Maggie,330,Catalina 320,Artur Piotrowski,180,AOK,2025-07-26T06:39:56.000Z,156896,119636,43:34:56,33:13:56,2025-07-26 06:39:56,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 1 - Warning  Signal 11:00,2,6,Yopo,103,Contest,Artur Jasinski,222,AOK,2025-07-26T11:36:02.000Z,174662,128708,48:31:02,35:45:08,2025-07-26 11:36:02,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 1 - Warning  Signal 11:00,3,8,Java,279,Jeanneau 36.2 SO,Marc Grill,180,AOK,2025-07-26T10:36:08.000Z,171068,133808,47:31:08,37:10:08,2025-07-26 10:36:08,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 1 - Warning  Signal 11:00,4,10,Terra Nova,Uni0127,Hunter 33,Alexander Malochka,159,AOK,2025-07-26T14:37:11.000Z,185531,152618,51:32:11,42:23:38,2025-07-26 14:37:11,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 1 - Warning  Signal 11:00,8,,Wind Song,USA6145,Catalina 30,yaron ziegel,,DNC,,,,,,,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 1 - Warning  Signal 11:00,8,,Kitli,297,Sabre 34-2,Darshan Patel,,RET,,,,,,,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 1 - Warning  Signal 11:00,8,,Vamonos,USA1910,Jeanneau 36i,John Martin,,RET,,,,,,,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 2 - Warning Signal 11:10,1,1,Dolcezza,53,Hunter Legend 37.5,Neill Parker Jr,144,AOK,2025-07-26T03:26:17.000Z,144677,114869,40:11:17,31:54:29,2025-07-26 03:26:17,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 2 - Warning Signal 11:10,2,2,Smoke &Mirrors,Unih40/222,Hunter legend,Edward Nielsen,123,AOK,2025-07-26T02:17:44.000Z,140564,115103,39:02:44,31:58:23,2025-07-26 02:17:44,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 2 - Warning Signal 11:10,3,4,Inessa II,USA11379,Jeanneau,Nikolas Grubecki,117,AOK,2025-07-26T03:14:50.000Z,143990,119771,39:59:50,33:16:11,2025-07-26 03:14:50,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 2 - Warning Signal 11:10,4,5,Cool Change,121,Hunter 39,James Sheed,138,AOK,2025-07-26T06:29:20.000Z,155660,127094,43:14:20,35:18:14,2025-07-26 06:29:20,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 2 - Warning Signal 11:10,5,7,Piragua,086,Beneteau Oceanis 41.1,Richard LaFontaine,135,AOK,2025-07-26T07:39:03.000Z,159843,131898,44:24:03,36:38:18,2025-07-26 07:39:03,
1,Around Long Island Course - Non-Spinnaker,PHRF,Non-Spinnaker Division 2 - Warning Signal 11:10,6,9,Condor,USA53338,Beneteau First 38,Frederick Fuchs,105,AOK,2025-07-26T07:29:16.000Z,159256,137521,44:14:16,38:12:01,2025-07-26 07:29:16,
